area,specimen_id,unit_count,filename
VISal,726141251,71,data/VISal_726141251_responses.npy
VISal,733457989,53,data/VISal_733457989_responses.npy
VISal,735109609,80,data/VISal_735109609_responses.npy
VISal,757329624,166,data/VISal_757329624_responses.npy
VISp,717038288,110,data/VISp_717038288_responses.npy
VISp,719828690,102,data/VISp_719828690_responses.npy
VISp,730760270,75,data/VISp_730760270_responses.npy
VISp,733457989,85,data/VISp_733457989_responses.npy
VISp,744915204,75,data/VISp_744915204_responses.npy
VISp,745276236,84,data/VISp_745276236_responses.npy
VISp,769360779,93,data/VISp_769360779_responses.npy
VISp,772616823,75,data/VISp_772616823_responses.npy
VISp,775876828,94,data/VISp_775876828_responses.npy
VISrl,718643567,67,data/VISrl_718643567_responses.npy
VISrl,722882755,68,data/VISrl_722882755_responses.npy
VISrl,744915204,60,data/VISrl_744915204_responses.npy
VISrl,769360779,58,data/VISrl_769360779_responses.npy
VISam,730756780,70,data/VISam_730756780_responses.npy
VISam,730760270,94,data/VISam_730760270_responses.npy
VISam,732548380,71,data/VISam_732548380_responses.npy
VISam,734865738,72,data/VISam_734865738_responses.npy
VISam,742602892,74,data/VISam_742602892_responses.npy
VISpm,699733581,50,data/VISpm_699733581_responses.npy
VISpm,726170935,115,data/VISpm_726170935_responses.npy
VISpm,730760270,62,data/VISpm_730760270_responses.npy
VISpm,738651054,54,data/VISpm_738651054_responses.npy
VISl,703279284,40,data/VISl_703279284_responses.npy
VISl,717038288,40,data/VISl_717038288_responses.npy
VISl,733457989,53,data/VISl_733457989_responses.npy
VISl,739783171,49,data/VISl_739783171_responses.npy
VISl,769360779,56,data/VISl_769360779_responses.npy
VISl,772616823,40,data/VISl_772616823_responses.npy
VISl,776061251,58,data/VISl_776061251_responses.npy
