area,area_code,specimen_id,n_units,store,meta
AL,VISal,717038288,80,PreprocData/AL_717038288.npy,PreprocData/AL_717038288.json
AL,VISal,735109609,80,PreprocData/AL_735109609.npy,PreprocData/AL_735109609.json
AL,VISal,738651054,121,PreprocData/AL_738651054.npy,PreprocData/AL_738651054.json
AL,VISal,742714475,171,PreprocData/AL_742714475.npy,PreprocData/AL_742714475.json
AL,VISal,745276236,81,PreprocData/AL_745276236.npy,PreprocData/AL_745276236.json
AL,VISal,757329624,147,PreprocData/AL_757329624.npy,PreprocData/AL_757329624.json
AL,VISal,775876828,87,PreprocData/AL_775876828.npy,PreprocData/AL_775876828.json
AM,VISam,730756780,69,PreprocData/AM_730756780.npy,PreprocData/AM_730756780.json
AM,VISam,730760270,81,PreprocData/AM_730760270.npy,PreprocData/AM_730760270.json
AM,VISam,734865738,67,PreprocData/AM_734865738.npy,PreprocData/AM_734865738.json
AM,VISam,738651054,68,PreprocData/AM_738651054.npy,PreprocData/AM_738651054.json
AM,VISam,742602892,74,PreprocData/AM_742602892.npy,PreprocData/AM_742602892.json
AM,VISam,775876828,98,PreprocData/AM_775876828.npy,PreprocData/AM_775876828.json
LM,VISl,723627604,48,PreprocData/LM_723627604.npy,PreprocData/LM_723627604.json
LM,VISl,733457989,53,PreprocData/LM_733457989.npy,PreprocData/LM_733457989.json
LM,VISl,739783171,49,PreprocData/LM_739783171.npy,PreprocData/LM_739783171.json
LM,VISl,745276236,67,PreprocData/LM_745276236.npy,PreprocData/LM_745276236.json
LM,VISl,775876828,70,PreprocData/LM_775876828.npy,PreprocData/LM_775876828.json
LM,VISl,776061251,49,PreprocData/LM_776061251.npy,PreprocData/LM_776061251.json
PM,VISpm,717038288,65,PreprocData/PM_717038288.npy,PreprocData/PM_717038288.json
PM,VISpm,726170935,112,PreprocData/PM_726170935.npy,PreprocData/PM_726170935.json
PM,VISpm,730760270,60,PreprocData/PM_730760270.npy,PreprocData/PM_730760270.json
PM,VISpm,734865738,86,PreprocData/PM_734865738.npy,PreprocData/PM_734865738.json
PM,VISpm,738651054,54,PreprocData/PM_738651054.npy,PreprocData/PM_738651054.json
RL,VISrl,699733581,74,PreprocData/RL_699733581.npy,PreprocData/RL_699733581.json
RL,VISrl,718643567,67,PreprocData/RL_718643567.npy,PreprocData/RL_718643567.json
RL,VISrl,722882755,64,PreprocData/RL_722882755.npy,PreprocData/RL_722882755.json
RL,VISrl,723627604,74,PreprocData/RL_723627604.npy,PreprocData/RL_723627604.json
RL,VISrl,732548380,81,PreprocData/RL_732548380.npy,PreprocData/RL_732548380.json
RL,VISrl,742714475,105,PreprocData/RL_742714475.npy,PreprocData/RL_742714475.json
V1,VISp,717038288,110,PreprocData/V1_717038288.npy,PreprocData/V1_717038288.json
V1,VISp,719828690,102,PreprocData/V1_719828690.npy,PreprocData/V1_719828690.json
V1,VISp,726298253,88,PreprocData/V1_726298253.npy,PreprocData/V1_726298253.json
V1,VISp,733457989,84,PreprocData/V1_733457989.npy,PreprocData/V1_733457989.json
V1,VISp,738651054,88,PreprocData/V1_738651054.npy,PreprocData/V1_738651054.json
V1,VISp,745276236,84,PreprocData/V1_745276236.npy,PreprocData/V1_745276236.json
V1,VISp,769360779,93,PreprocData/V1_769360779.npy,PreprocData/V1_769360779.json
V1,VISp,775876828,94,PreprocData/V1_775876828.npy,PreprocData/V1_775876828.json
V1,VISp,776061251,85,PreprocData/V1_776061251.npy,PreprocData/V1_776061251.json
