,layer,area,specimen_id,score
0,pool1,VISal,735109609,0.35298828518342523
1,pool1,VISal,738651054,0.2912118919255822
2,pool1,VISal,739783171,0.3474029116974993
3,pool1,VISal,742714475,0.3183876775294381
4,pool1,VISal,757329624,0.3400017235949876
5,pool1,VISal,775876828,0.2169331053026567
6,pool1,VISam,730756780,0.369962298588345
7,pool1,VISam,734865738,0.29862435101994567
8,pool1,VISam,738651054,0.29029853996109706
9,pool1,VISam,739783171,0.3282617197663305
10,pool1,VISam,742602892,0.3575690147011473
11,pool1,VISam,744915204,0.20297104819090342
12,pool1,VISam,775876828,0.2246964539954689
13,pool1,VISl,716813543,0.26043183079229015
14,pool1,VISl,723627604,0.18916728305469416
15,pool1,VISl,739783171,0.27685005070288604
16,pool1,VISl,745276236,0.44948348269188215
17,pool1,VISl,772616823,0.23379020314265014
18,pool1,VISl,775876828,0.23852512944085427
19,pool1,VISp,717038288,0.22107316576960986
20,pool1,VISp,719828690,0.260019568899719
21,pool1,VISp,730756780,0.2810704112617744
22,pool1,VISp,738651054,0.22511076362598378
23,pool1,VISp,739783171,0.282261785068424
24,pool1,VISp,742602892,0.31611515992807354
25,pool1,VISp,744915204,0.2589057010779613
26,pool1,VISp,772616823,0.2353153768796595
27,pool1,VISpm,726170935,0.2773101400726348
28,pool1,VISpm,734865738,0.3691078983345239
29,pool1,VISpm,738651054,0.2947284174195636
30,pool1,VISpm,739783171,0.3263725110225626
31,pool1,VISpm,742714475,0.33461370103250615
32,pool1,VISrl,716813543,0.3489567244534618
33,pool1,VISrl,723627604,0.3892929015858142
34,pool1,VISrl,732548380,0.2808746294230814
35,pool1,VISrl,738651054,0.48709095489507126
36,pool1,VISrl,742602892,0.48855953156048504
37,pool1,VISrl,742714475,0.44449077527794034
38,pool1,VISrl,744915204,0.173709417805598
39,pool2,VISal,735109609,0.3533586816463439
40,pool2,VISal,738651054,0.33426571802308447
41,pool2,VISal,739783171,0.36679000400145867
42,pool2,VISal,742714475,0.33717158867026975
43,pool2,VISal,757329624,0.34270007487269405
44,pool2,VISal,775876828,0.24289519234496576
45,pool2,VISam,730756780,0.4072934295685847
