,area,layer,score,sem
0,VISal,fc6_relu,0.3705510700184329,0.01848891298333059
1,VISal,fc7_relu,0.34843221804521374,0.02114878845593721
2,VISal,pool1,0.32919470056221284,0.02099513668675792
3,VISal,pool2,0.3399358317714819,0.017996273354136418
4,VISal,pool5,0.36845766736019936,0.017420754577483516
5,VISal,relu3,0.34749638879864236,0.01782548967830086
6,VISal,relu4,0.33935145791091104,0.016337545930211004
7,VISam,fc6_relu,0.3675380403696823,0.01846835905901248
8,VISam,fc7_relu,0.34765333001291443,0.017606637458166544
9,VISam,pool1,0.29862435101994567,0.023944349246969202
10,VISam,pool2,0.33271174355182703,0.025326283386827745
11,VISam,pool5,0.34697135951781605,0.019971468131816453
12,VISam,relu3,0.333626153066476,0.023706696989470238
13,VISam,relu4,0.3219632790547443,0.022790064685943363
14,VISl,fc6_relu,0.30967842543357416,0.03061335000669671
15,VISl,fc7_relu,0.29950693367531567,0.02864450157545568
16,VISl,pool1,0.2494784801165722,0.03699348916395848
17,VISl,pool2,0.2727605771265367,0.03127067975024237
18,VISl,pool5,0.3080991084603434,0.026983245885858837
19,VISl,relu3,0.281931538557595,0.031259074741392834
20,VISl,relu4,0.28752715090878356,0.030467738780098876
21,VISp,fc6_relu,0.31668307236497983,0.013630540253112531
22,VISp,fc7_relu,0.30630437603602645,0.013205750941420855
23,VISp,pool1,0.25946263498884015,0.011519815349458095
24,VISp,pool2,0.3173964155380534,0.011106239776221064
25,VISp,pool5,0.3355567932064273,0.017191891201596466
26,VISp,relu3,0.32153310625675013,0.01353018858428735
27,VISp,relu4,0.32974351931901913,0.013104987033338261
28,VISpm,fc6_relu,0.36526291430456936,0.010448841417897205
29,VISpm,fc7_relu,0.34206892965711366,0.00943426314570501
30,VISpm,pool1,0.3263725110225626,0.016009250772152265
31,VISpm,pool2,0.34847170941734784,0.011609139711529872
32,VISpm,pool5,0.36239666963167927,0.011059140309114925
33,VISpm,relu3,0.3451891918122395,0.010211462609111497
34,VISpm,relu4,0.34224526378246606,0.007700299402071167
35,VISrl,fc6_relu,0.3616603345447801,0.03578060967140828
36,VISrl,fc7_relu,0.38703096607214205,0.037035445855023316
37,VISrl,pool1,0.3892929015858142,0.04378749627846409
38,VISrl,pool2,0.3832287885553144,0.04247352724928255
39,VISrl,pool5,0.3811098990008146,0.0381723999615146
40,VISrl,relu3,0.37491440664981857,0.04051683321727586
41,VISrl,relu4,0.38214483782853315,0.04049938749095712
