,area,layer,score,sem
0,VISal,fc6_relu,0.37661754551393156,0.019270503228357074
1,VISal,fc7_relu,0.36869053336343505,0.019791946420300625
2,VISal,pool1,0.31775643724313685,0.016962528036605584
3,VISal,pool2,0.34937588375133033,0.018504576323416656
4,VISal,pool5,0.38343489263233443,0.02143027708990318
5,VISal,relu3,0.35156288951285053,0.01720531284151929
6,VISal,relu4,0.3529208911717252,0.015291251155245373
7,VISam,fc6_relu,0.36663626598663956,0.0254312825834077
8,VISam,fc7_relu,0.34363761981046714,0.024914300571309406
9,VISam,pool1,0.28742419064011154,0.02479014160726303
10,VISam,pool2,0.31977166764571974,0.02244043497580382
11,VISam,pool5,0.38069629533475335,0.022494081263715892
12,VISam,relu3,0.3314962210500158,0.022466778330007826
13,VISam,relu4,0.334304124040517,0.02281754050897834
14,VISl,fc6_relu,0.31166206374038,0.0302516325641602
15,VISl,fc7_relu,0.30631802716191736,0.02915088116142335
16,VISl,pool1,0.23837913516213477,0.036369036947441126
17,VISl,pool2,0.2821803689547505,0.030200328489236258
18,VISl,pool5,0.3357147832901027,0.034433899929912345
19,VISl,relu3,0.2868196337100094,0.0308066405285149
20,VISl,relu4,0.2920471309529466,0.030343481198698227
21,VISp,fc6_relu,0.3242410574794142,0.016390563376665914
22,VISp,fc7_relu,0.31276801127501186,0.016343035149684697
23,VISp,pool1,0.23322796517422956,0.012915528859643017
24,VISp,pool2,0.3019181110132873,0.01609454059064832
25,VISp,pool5,0.335555531317273,0.017041065097090097
26,VISp,relu3,0.3124174150823259,0.01631855312556228
27,VISp,relu4,0.3180603503975399,0.015935958013667362
28,VISpm,fc6_relu,0.3730323811053624,0.00696402814601909
29,VISpm,fc7_relu,0.37067050148968667,0.008697251768146797
30,VISpm,pool1,0.34207018193226946,0.013101467881765834
31,VISpm,pool2,0.36156371032951007,0.012335247096111251
32,VISpm,pool5,0.38731531274875586,0.006919421270143111
33,VISpm,relu3,0.3556792354522646,0.009535428688852854
34,VISpm,relu4,0.3508724763054595,0.009214796606602222
35,VISrl,fc6_relu,0.40068299678537206,0.04137148501922058
36,VISrl,fc7_relu,0.40106254370354505,0.04207451911620668
37,VISrl,pool1,0.3629831508750915,0.04508123767467451
38,VISrl,pool2,0.39531110894321786,0.04332272534725745
39,VISrl,pool5,0.39907174988119065,0.04286452169707406
40,VISrl,relu3,0.38701757846180435,0.042619368906554704
41,VISrl,relu4,0.3878656067281062,0.04461430177772895
