,area,layer,score,sem
0,VISal,fc6_relu,0.35797830142522086,0.01872915709600341
1,VISal,fc7_relu,0.3536362387288373,0.01939561072852023
2,VISal,pool1,0.3080396772480898,0.020461395828777772
3,VISal,pool2,0.3455900873660806,0.01544254096212481
4,VISal,pool5,0.36136220234104977,0.016124272343952233
5,VISal,relu3,0.35036433204549233,0.01499268935520438
6,VISal,relu4,0.35441367715239247,0.016297697458697587
7,VISam,fc6_relu,0.3616137626536532,0.02291355359461806
8,VISam,fc7_relu,0.3471001173427922,0.023032174569701826
9,VISam,pool1,0.2888319701057939,0.023274922379426154
10,VISam,pool2,0.31783246712182056,0.02312524185865725
11,VISam,pool5,0.3736882799600269,0.022244951823388776
12,VISam,relu3,0.32318349172107486,0.02281618550824609
13,VISam,relu4,0.32975392725708064,0.024262764351850083
14,VISl,fc6_relu,0.30355958396345206,0.02967406613068946
15,VISl,fc7_relu,0.2991461037901312,0.03273387368466331
16,VISl,pool1,0.23645267856557256,0.03641792950900344
17,VISl,pool2,0.2838133052672408,0.03124824490546464
18,VISl,pool5,0.31159189672991444,0.031290240788528066
19,VISl,relu3,0.28703306493478425,0.03035060501761474
20,VISl,relu4,0.29012116062337995,0.03375652279072894
21,VISp,fc6_relu,0.30971973006711284,0.01509911740481901
22,VISp,fc7_relu,0.2925766944014693,0.018400987561316622
23,VISp,pool1,0.251599112869101,0.012545670603037877
24,VISp,pool2,0.30975429421812695,0.013368099612357987
25,VISp,pool5,0.32927266885619594,0.016385969041269162
26,VISp,relu3,0.3116481297355764,0.01325344719386952
27,VISp,relu4,0.3099872838679434,0.014353927864500828
28,VISpm,fc6_relu,0.3621277207683249,0.005768348850882901
29,VISpm,fc7_relu,0.3493723878585947,0.005867811322405563
30,VISpm,pool1,0.32549052741010476,0.013360580944898524
31,VISpm,pool2,0.35555041489040895,0.006510822268411391
32,VISpm,pool5,0.36167488138926684,0.008623875734561073
33,VISpm,relu3,0.35178937302078706,0.008053975142542996
34,VISpm,relu4,0.35455895186649117,0.008031773451745317
35,VISrl,fc6_relu,0.37117344524065277,0.04382342502880466
36,VISrl,fc7_relu,0.3678402175150755,0.04586543206027616
37,VISrl,pool1,0.3588235312122755,0.046808122748689
38,VISrl,pool2,0.38217639890846994,0.04355452514979341
39,VISrl,pool5,0.3693590042517617,0.04459365072765996
40,VISrl,relu3,0.3816945536894535,0.04329557454154242
41,VISrl,relu4,0.3790368240518698,0.04386367878332983
