,area,layer,score,sem
0,VISal,fc6_relu,0.36011944568008825,0.019780811143886263
1,VISal,fc7_relu,0.35456462917167564,0.013857771630032894
2,VISal,pool1,0.31485384371135006,0.025184480184489443
3,VISal,pool2,0.34945124219576595,0.017056170919862886
4,VISal,pool5,0.3634964652031393,0.01457977268650351
5,VISal,relu3,0.34385668894914123,0.015202268603559152
6,VISal,relu4,0.34524418389616746,0.013922233018322867
7,VISam,fc6_relu,0.3185995185462087,0.021651678632682005
8,VISam,fc7_relu,0.31555203302447077,0.02549013718021847
9,VISam,pool1,0.27881651421531817,0.0188473477267059
10,VISam,pool2,0.31156864070633705,0.02028416953989377
11,VISam,pool5,0.33644776533589216,0.024078610451191154
12,VISam,relu3,0.30942523193104665,0.0196900065379224
13,VISam,relu4,0.316277528030427,0.020271198718163984
14,VISl,fc6_relu,0.31737323174989945,0.027674194637739895
15,VISl,fc7_relu,0.315967680415063,0.024280758797718516
16,VISl,pool1,0.24829784102626362,0.03205039297780646
17,VISl,pool2,0.28504602028178183,0.03068887050736841
18,VISl,pool5,0.310625725892309,0.03129581355900191
19,VISl,relu3,0.2976286703977922,0.028334633651688295
20,VISl,relu4,0.3004313811039125,0.02965471060567975
21,VISp,fc6_relu,0.3213700578866241,0.012940856880399637
22,VISp,fc7_relu,0.3205756722985841,0.011468154310423957
23,VISp,pool1,0.24364178368310307,0.011266069011120055
24,VISp,pool2,0.30708766785003205,0.012859953499645036
25,VISp,pool5,0.3454800895745003,0.011724906017213876
26,VISp,relu3,0.3230989917351289,0.013594037499612114
27,VISp,relu4,0.3260472947030174,0.013778770295581885
28,VISpm,fc6_relu,0.33929958567799445,0.01062811840993258
29,VISpm,fc7_relu,0.3481580582827001,0.010526795094210352
30,VISpm,pool1,0.30220601191044083,0.016205164824845148
31,VISpm,pool2,0.3379930787062351,0.014228772384130318
32,VISpm,pool5,0.35535018890438486,0.010039789959797396
33,VISpm,relu3,0.3434893225061981,0.007104396271937745
34,VISpm,relu4,0.33414225802793657,0.004071526935656002
35,VISrl,fc6_relu,0.3788017574869913,0.042688870950267556
36,VISrl,fc7_relu,0.38763985442861176,0.04401547129462645
37,VISrl,pool1,0.3807701754586657,0.046215359626059924
38,VISrl,pool2,0.3981648041159299,0.042986299581262606
39,VISrl,pool5,0.40284792375999023,0.04248335316264213
40,VISrl,relu3,0.40861199766833733,0.04367304177448507
41,VISrl,relu4,0.4037772413506734,0.04416531259864203
